# Mouse TFs were from TcoF-DBv2 (PMID: 27789689). We performed symbol update and Ensembl gene id mapping in December, 2020. -- MG
Symbol	EntrezID	Name	Species	Symbol_20201219	EnsemblID
Cebpd	12609	"CCAAT/enhancer binding protein (C/EBP), delta"	mouse	Cebpd	ENSMUSG00000071637
Cebpe	110794	"CCAAT/enhancer binding protein (C/EBP), epsilon"	mouse	Cebpe	ENSMUSG00000052435
Cebpg	12611	"CCAAT/enhancer binding protein (C/EBP), gamma"	mouse	Cebpg	ENSMUSG00000056216
Cebpz	12607	CCAAT/enhancer binding protein zeta	mouse	Cebpz	ENSMUSG00000024081
Cenpt	320394	centromere protein T	mouse	Cenpt	ENSMUSG00000036672
Champ1	101994	chromosome alignment maintaining phosphoprotein 1	mouse	Champ1	ENSMUSG00000047710
Cic	71722	capicua transcriptional repressor	mouse	Cic	ENSMUSG00000005442
Ciz1	68379	CDKN1A interacting zinc finger protein 1	mouse	Ciz1	ENSMUSG00000039205
Clock	12753	circadian locomotor output cycles kaput	mouse	Clock	ENSMUSG00000029238
Cnot4	53621	"CCR4-NOT transcription complex, subunit 4"	mouse	Cnot4	ENSMUSG00000038784
Cpxcr1	382239	"CPX chromosome region, candidate 1"	mouse	Cpxcr1	ENSMUSG00000072995
Cramp1l	57354	"Crm, cramped-like (Drosophila)"	mouse	Cramp1l	ENSMUSG00000038002
Creb1	12912	cAMP responsive element binding protein 1	mouse	Creb1	ENSMUSG00000025958
Creb3	12913	cAMP responsive element binding protein 3	mouse	Creb3	ENSMUSG00000028466
Creb3l1	26427	cAMP responsive element binding protein 3-like 1	mouse	Creb3l1	ENSMUSG00000027230
Creb3l2	208647	cAMP responsive element binding protein 3-like 2	mouse	Creb3l2	ENSMUSG00000038648
Creb3l3	208677	cAMP responsive element binding protein 3-like 3	mouse	Creb3l3	ENSMUSG00000035041
Creb3l4	78284	cAMP responsive element binding protein 3-like 4	mouse	Creb3l4	ENSMUSG00000027938
Creb5	231991	cAMP responsive element binding protein 5	mouse	Creb5	ENSMUSG00000053007
Crebbp	12914	CREB binding protein	mouse	Crebbp	ENSMUSG00000022521
Crebl2	232430	cAMP responsive element binding protein-like 2	mouse	Crebl2	ENSMUSG00000032652
Crebzf	233490	CREB/ATF bZIP transcription factor	mouse	Crebzf	ENSMUSG00000051451
Crem	12916	cAMP responsive element modulator	mouse	Crem	ENSMUSG00000063889
Crx	12951	cone-rod homeobox	mouse	Crx	ENSMUSG00000041578
Csrnp1	215418	cysteine-serine-rich nuclear protein 1	mouse	Csrnp1	ENSMUSG00000032515
Csrnp2	207785	cysteine-serine-rich nuclear protein 2	mouse	Csrnp2	ENSMUSG00000044636
Csrnp3	77771	cysteine-serine-rich nuclear protein 3	mouse	Csrnp3	ENSMUSG00000044647
Ctcf	13018	CCCTC-binding factor	mouse	Ctcf	ENSMUSG00000005698
Ctcfl	664799	CCCTC-binding factor (zinc finger protein)-like	mouse	Ctcfl	ENSMUSG00000070495
Cux1	13047	cut-like homeobox 1	mouse	Cux1	ENSMUSG00000029705
Cux2	13048	cut-like homeobox 2	mouse	Cux2	ENSMUSG00000042589
Cxxc1	74322	CXXC finger 1 (PHD domain)	mouse	Cxxc1	ENSMUSG00000024560
D630045J12Rik	330286	RIKEN cDNA D630045J12 gene	mouse	D630045J12Rik	ENSMUSG00000063455
Dach1	13134	dachshund 1 (Drosophila)	mouse	Dach1	ENSMUSG00000055639
Dach2	93837	dachshund 2 (Drosophila)	mouse	Dach2	ENSMUSG00000025592
Dbp	13170	D site albumin promoter binding protein	mouse	Dbp	ENSMUSG00000059824
Dbx1	13172	developing brain homeobox 1	mouse	Dbx1	ENSMUSG00000030507
Dbx2	223843	developing brain homeobox 2	mouse	Dbx2	ENSMUSG00000045608
Ddb2	107986	damage specific DNA binding protein 2	mouse	Ddb2	ENSMUSG00000002109
Ddit3	13198	DNA-damage inducible transcript 3	mouse	Ddit3	ENSMUSG00000025408
Deaf1	54006	deformed epidermal autoregulatory factor 1 (Drosophila)	mouse	Deaf1	ENSMUSG00000058886
Dlx1	13390	distal-less homeobox 1	mouse	Dlx1	ENSMUSG00000041911
Dlx2	13392	distal-less homeobox 2	mouse	Dlx2	ENSMUSG00000023391
Dlx3	13393	distal-less homeobox 3	mouse	Dlx3	ENSMUSG00000001510
Dlx4	13394	distal-less homeobox 4	mouse	Dlx4	ENSMUSG00000020871
Dlx5	13395	distal-less homeobox 5	mouse	Dlx5	ENSMUSG00000029755
Dlx6	13396	distal-less homeobox 6	mouse	Dlx6	ENSMUSG00000029754
Dmap1	66233	DNA methyltransferase 1-associated protein 1	mouse	Dmap1	ENSMUSG00000009640
Dmbx1	140477	diencephalon/mesencephalon homeobox 1	mouse	Dmbx1	ENSMUSG00000028707
Dmrt1	50796	doublesex and mab-3 related transcription factor 1	mouse	Dmrt1	ENSMUSG00000024837
Dmrt2	226049	doublesex and mab-3 related transcription factor 2	mouse	Dmrt2	ENSMUSG00000048138
Dmrt3	240590	doublesex and mab-3 related transcription factor 3	mouse	Dmrt3	ENSMUSG00000042372
Dmrta1	242523	doublesex and mab-3 related transcription factor like family A1	mouse	Dmrta1	ENSMUSG00000043753
Dmrta2	242620	doublesex and mab-3 related transcription factor like family A2	mouse	Dmrta2	ENSMUSG00000047143
Dmrtb1	56296	"DMRT-like family B with proline-rich C-terminal, 1"	mouse	Dmrtb1	ENSMUSG00000028610
Dmrtc1a	70887	DMRT-like family C1a	mouse	Dmrtc1a	ENSMUSG00000031323
Dmrtc1b	632708	DMRT-like family C1b	mouse	Dmrtc1b	ENSMUSG00000073027
Dmrtc1c1	71083	DMRT-like family C1c1	mouse	Dmrtc1c1	ENSMUSG00000067562
Dmrtc1c2	668357	DMRT-like family C1c2	mouse	Dmrtc1c2	ENSMUSG00000067561
Dmrtc2	71241	doublesex and mab-3 related transcription factor like family C2	mouse	Dmrtc2	ENSMUSG00000011349
Dmtf1	23857	cyclin D binding myb-like transcription factor 1	mouse	Dmtf1	ENSMUSG00000042508
Dnajc1	13418	DnaJ heat shock protein family (Hsp40) member C1	mouse	Dnajc1	ENSMUSG00000026740
Dnajc2	22791	DnaJ heat shock protein family (Hsp40) member C2	mouse	Dnajc2	ENSMUSG00000029014
Dnajc21	78244	DnaJ heat shock protein family (Hsp40) member C21	mouse	Dnajc21	ENSMUSG00000044224
Dnmt1	13433	DNA methyltransferase (cytosine-5) 1	mouse	Dnmt1	ENSMUSG00000004099
Dnmt3a	13435	DNA methyltransferase 3A	mouse	Dnmt3a	ENSMUSG00000020661
Dnmt3b	13436	DNA methyltransferase 3B	mouse	Dnmt3b	ENSMUSG00000027478
Dnmt3l	54427	DNA (cytosine-5-)-methyltransferase 3-like	mouse	Dnmt3l	ENSMUSG00000000730
Dpf1	29861	"D4, zinc and double PHD fingers family 1"	mouse	Dpf1	ENSMUSG00000030584
Dpf2	19708	"D4, zinc and double PHD fingers family 2"	mouse	Dpf2	ENSMUSG00000024826
Dpf3	70127	"D4, zinc and double PHD fingers, family 3"	mouse	Dpf3	ENSMUSG00000021221
Dr1	13486	down-regulator of transcription 1	mouse	Dr1	ENSMUSG00000029265
Drap1	66556	Dr1 associated protein 1 (negative cofactor 2 alpha)	mouse	Drap1	ENSMUSG00000024914
E2f1	13555	E2F transcription factor 1	mouse	E2f1	ENSMUSG00000027490
E2f2	242705	E2F transcription factor 2	mouse	E2f2	ENSMUSG00000018983
E2f3	13557	E2F transcription factor 3	mouse	E2f3	ENSMUSG00000016477
E2f4	104394	E2F transcription factor 4	mouse	E2f4	ENSMUSG00000014859
E2f5	13559	E2F transcription factor 5	mouse	E2f5	ENSMUSG00000027552
E2f6	50496	E2F transcription factor 6	mouse	E2f6	ENSMUSG00000057469
E2f7	52679	E2F transcription factor 7	mouse	E2f7	ENSMUSG00000020185
E2f8	108961	E2F transcription factor 8	mouse	E2f8	ENSMUSG00000046179
E4f1	13560	E4F transcription factor 1	mouse	E4f1	ENSMUSG00000024137
Ebf1	13591	early B cell factor 1	mouse	Ebf1	ENSMUSG00000057098
Ebf2	13592	early B cell factor 2	mouse	Ebf2	ENSMUSG00000022053
Ebf3	13593	early B cell factor 3	mouse	Ebf3	ENSMUSG00000010476
Ebf4	228598	early B cell factor 4	mouse	Ebf4	ENSMUSG00000053552
Egr1	13653	early growth response 1	mouse	Egr1	ENSMUSG00000038418
Egr2	13654	early growth response 2	mouse	Egr2	ENSMUSG00000037868
Egr3	13655	early growth response 3	mouse	Egr3	ENSMUSG00000033730
Egr4	13656	early growth response 4	mouse	Egr4	ENSMUSG00000071341
Ehf	13661	ets homologous factor	mouse	Ehf	ENSMUSG00000012350
Elf1	13709	E74-like factor 1	mouse	Elf1	ENSMUSG00000036461
Elf2	69257	E74-like factor 2	mouse	Elf2	ENSMUSG00000037174
Elf3	13710	E74-like factor 3	mouse	Elf3	ENSMUSG00000003051
Elf4	56501	E74-like factor 4 (ets domain transcription factor)	mouse	Elf4	ENSMUSG00000031103
Elf5	13711	E74-like factor 5	mouse	Elf5	ENSMUSG00000027186
Elk1	13712	"ELK1, member of ETS oncogene family"	mouse	Elk1	ENSMUSG00000009406
Elk3	13713	"ELK3, member of ETS oncogene family"	mouse	Elk3	ENSMUSG00000008398
Elk4	13714	"ELK4, member of ETS oncogene family"	mouse	Elk4	ENSMUSG00000026436
Elmsan1	238317	ELM2 and Myb/SANT-like domain containing 1	mouse	Mideas	ENSMUSG00000042507
Emx1	13796	empty spiracles homeobox 1	mouse	Emx1	ENSMUSG00000033726
Emx2	13797	empty spiracles homeobox 2	mouse	Emx2	ENSMUSG00000043969
En1	13798	engrailed 1	mouse	En1	ENSMUSG00000058665
En2	13799	engrailed 2	mouse	En2	ENSMUSG00000039095
Eno1	13806	"enolase 1, alpha non-neuron"	mouse	Eno1	ENSMUSG00000063524
Eomes	13813	eomesodermin	mouse	Eomes	ENSMUSG00000032446
Epas1	13819	endothelial PAS domain protein 1	mouse	Epas1	ENSMUSG00000024140
Erf	13875	Ets2 repressor factor	mouse	Erf	ENSMUSG00000040857
Erg	13876	avian erythroblastosis virus E-26 (v-ets) oncogene related	mouse	Erg	ENSMUSG00000040732
Esr1	13982	estrogen receptor 1 (alpha)	mouse	Esr1	ENSMUSG00000019768
Esr2	13983	estrogen receptor 2 (beta)	mouse	Esr2	ENSMUSG00000021055
Esrra	26379	"estrogen related receptor, alpha"	mouse	Esrra	ENSMUSG00000024955
Esrrb	26380	"estrogen related receptor, beta"	mouse	Esrrb	ENSMUSG00000021255
Esrrg	26381	estrogen-related receptor gamma	mouse	Esrrg	ENSMUSG00000026610
Esx1	13984	"extraembryonic, spermatogenesis, homeobox 1"	mouse	Esx1	ENSMUSG00000023443
Ets1	23871	"E26 avian leukemia oncogene 1, 5' domain"	mouse	Ets1	ENSMUSG00000032035
Ets2	23872	"E26 avian leukemia oncogene 2, 3' domain"	mouse	Ets2	ENSMUSG00000022895
Etv1	14009	ets variant 1	mouse	Etv1	ENSMUSG00000004151
Etv2	14008	ets variant 2	mouse	Etv2	ENSMUSG00000006311
Etv3	27049	ets variant 3	mouse	Etv3	ENSMUSG00000003382
Etv3l	546801	ets variant 3-like	mouse	Etv3l	ENSMUSG00000118505
Etv4	18612	ets variant 4	mouse	Etv4	ENSMUSG00000017724
Etv5	104156	ets variant 5	mouse	Etv5	ENSMUSG00000013089
Etv6	14011	ets variant 6	mouse	Etv6	ENSMUSG00000030199
Evx1	14028	even-skipped homeobox 1	mouse	Evx1	ENSMUSG00000005503
Evx2	14029	even-skipped homeobox 2	mouse	Evx2	ENSMUSG00000001815
Ezh1	14055	enhancer of zeste 1 polycomb repressive complex 2 subunit	mouse	Ezh1	ENSMUSG00000006920
Ezh2	14056	enhancer of zeste 2 polycomb repressive complex 2 subunit	mouse	Ezh2	ENSMUSG00000029687
Fam170a	225497	"family with sequence similarity 170, member A"	mouse	Fam170a	ENSMUSG00000035420
Ferd3l	114712	Fer3-like (Drosophila)	mouse	Ferd3l	ENSMUSG00000046518
Fev	260298	FEV (ETS oncogene family)	mouse	Fev	ENSMUSG00000055197
Fezf1	73191	Fez family zinc finger 1	mouse	Fezf1	ENSMUSG00000029697
Fezf2	54713	Fez family zinc finger 2	mouse	Fezf2	ENSMUSG00000021743
Figla	26910	folliculogenesis specific basic helix-loop-helix	mouse	Figla	ENSMUSG00000030001
Fiz1	23877	Flt3 interacting zinc finger protein 1	mouse	Fiz1	ENSMUSG00000061374
Fli1	14247	Friend leukemia integration 1	mouse	Fli1	ENSMUSG00000016087
Fos	14281	FBJ osteosarcoma oncogene	mouse	Fos	ENSMUSG00000021250
Fosb	14282	FBJ osteosarcoma oncogene B	mouse	Fosb	ENSMUSG00000003545
Fosl1	14283	fos-like antigen 1	mouse	Fosl1	ENSMUSG00000024912
Fosl2	14284	fos-like antigen 2	mouse	Fosl2	ENSMUSG00000029135
Foxa1	15375	forkhead box A1	mouse	Foxa1	ENSMUSG00000035451
Foxa2	15376	forkhead box A2	mouse	Foxa2	ENSMUSG00000037025
Foxa3	15377	forkhead box A3	mouse	Foxa3	ENSMUSG00000040891
Foxb1	64290	forkhead box B1	mouse	Foxb1	ENSMUSG00000059246
Foxb2	14240	forkhead box B2	mouse	Foxb2	ENSMUSG00000056829
Foxc1	17300	forkhead box C1	mouse	Foxc1	ENSMUSG00000050295
Foxc2	14234	forkhead box C2	mouse	Foxc2	ENSMUSG00000046714
Foxd1	15229	forkhead box D1	mouse	Foxd1	ENSMUSG00000078302
Foxd2	17301	forkhead box D2	mouse	Foxd2	ENSMUSG00000055210
Foxd3	15221	forkhead box D3	mouse	Foxd3	ENSMUSG00000067261
Foxd4	14237	forkhead box D4	mouse	Foxd4	ENSMUSG00000051490
Foxe1	110805	forkhead box E1	mouse	Foxe1	ENSMUSG00000070990
Foxe3	30923	forkhead box E3	mouse	Foxe3	ENSMUSG00000044518
Foxf1	15227	forkhead box F1	mouse	Foxf1	ENSMUSG00000042812
Foxf2	14238	forkhead box F2	mouse	Foxf2	ENSMUSG00000038402
Foxg1	15228	forkhead box G1	mouse	Foxg1	ENSMUSG00000020950
Foxh1	14106	forkhead box H1	mouse	Foxh1	ENSMUSG00000033837
Foxi1	14233	forkhead box I1	mouse	Foxi1	ENSMUSG00000047861
Foxi2	270004	forkhead box I2	mouse	Foxi2	ENSMUSG00000048377
Foxi3	232077	forkhead box I3	mouse	Foxi3	ENSMUSG00000055874
Foxj1	15223	forkhead box J1	mouse	Foxj1	ENSMUSG00000034227
Foxj2	60611	forkhead box J2	mouse	Foxj2	ENSMUSG00000003154
Foxj3	230700	forkhead box J3	mouse	Foxj3	ENSMUSG00000032998
Foxk1	17425	forkhead box K1	mouse	Foxk1	ENSMUSG00000056493
Foxk2	68837	forkhead box K2	mouse	Foxk2	ENSMUSG00000039275
Foxl1	14241	forkhead box L1	mouse	Foxl1	ENSMUSG00000097084
Foxl2	26927	forkhead box L2	mouse	Foxl2	ENSMUSG00000050397
Foxm1	14235	forkhead box M1	mouse	Foxm1	ENSMUSG00000001517
Foxn1	15218	forkhead box N1	mouse	Foxn1	ENSMUSG00000002057
Foxn2	14236	forkhead box N2	mouse	Foxn2	ENSMUSG00000034998
Foxn3	71375	forkhead box N3	mouse	Foxn3	ENSMUSG00000033713
Foxn4	116810	forkhead box N4	mouse	Foxn4	ENSMUSG00000042002
Foxo1	56458	forkhead box O1	mouse	Foxo1	ENSMUSG00000044167
Foxo3	56484	forkhead box O3	mouse	Foxo3	ENSMUSG00000048756
Foxo4	54601	forkhead box O4	mouse	Foxo4	ENSMUSG00000042903
Foxo6	329934	forkhead box O6	mouse	Foxo6	ENSMUSG00000052135
Foxp1	108655	forkhead box P1	mouse	Foxp1	ENSMUSG00000030067
Foxp2	114142	forkhead box P2	mouse	Foxp2	ENSMUSG00000029563
Foxp3	20371	forkhead box P3	mouse	Foxp3	ENSMUSG00000039521
Foxp4	74123	forkhead box P4	mouse	Foxp4	ENSMUSG00000023991
Foxq1	15220	forkhead box Q1	mouse	Foxq1	ENSMUSG00000038415
Foxr1	382074	forkhead box R1	mouse	Foxr1	ENSMUSG00000074397
Foxr2	436240	forkhead box R2	mouse	Foxr2	ENSMUSG00000071665
Foxs1	14239	forkhead box S1	mouse	Foxs1	ENSMUSG00000074676
Fubp1	51886	far upstream element (FUSE) binding protein 1	mouse	Fubp1	ENSMUSG00000028034
Fubp3	320267	far upstream element (FUSE) binding protein 3	mouse	Fubp3	ENSMUSG00000026843
Gabpa	14390	"GA repeat binding protein, alpha"	mouse	Gabpa	ENSMUSG00000008976
Gabpb1	14391	"GA repeat binding protein, beta 1"	mouse	Gabpb1	ENSMUSG00000027361
Gabpb2	213054	"GA repeat binding protein, beta 2"	mouse	Gabpb2	ENSMUSG00000038766
Gata1	14460	GATA binding protein 1	mouse	Gata1	ENSMUSG00000031162
Gata2	14461	GATA binding protein 2	mouse	Gata2	ENSMUSG00000015053
Gata3	14462	GATA binding protein 3	mouse	Gata3	ENSMUSG00000015619
Gata4	14463	GATA binding protein 4	mouse	Gata4	ENSMUSG00000021944
Gata5	14464	GATA binding protein 5	mouse	Gata5	ENSMUSG00000015627
Gata6	14465	GATA binding protein 6	mouse	Gata6	ENSMUSG00000005836
Gatad1	67210	GATA zinc finger domain containing 1	mouse	Gatad1	ENSMUSG00000007415
Gatad2a	234366	GATA zinc finger domain containing 2A	mouse	Gatad2a	ENSMUSG00000036180
Gatad2b	229542	GATA zinc finger domain containing 2B	mouse	Gatad2b	ENSMUSG00000042390
Gbx1	231044	gastrulation brain homeobox 1	mouse	Gbx1	ENSMUSG00000067724
Gbx2	14472	gastrulation brain homeobox 2	mouse	Gbx2	ENSMUSG00000034486
Gcfc2	330361	GC-rich sequence DNA binding factor 2	mouse	Gcfc2	ENSMUSG00000035125
Gcm1	14531	glial cells missing homolog 1 (Drosophila)	mouse	Gcm1	ENSMUSG00000023333
Gcm2	107889	glial cells missing homolog 2 (Drosophila)	mouse	Gcm2	ENSMUSG00000021362
Gfi1	14581	growth factor independent 1	mouse	Gfi1	ENSMUSG00000029275
Gfi1b	14582	growth factor independent 1B	mouse	Gfi1b	ENSMUSG00000026815
